dataset	downloaded_at_utc	local_path	md5	notes	size_bytes	source_record	source_url	status
alphafold	2026-04-11T22:15:23.424584+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0A024R0Y4.json	a7aa237e0b00be06e5261fc5f40a70ef	accession=A0A024R0Y4	2655	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0A024R0Y4	downloaded
alphafold	2026-04-11T22:15:23.460585+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0A0C4DFU3.json	f1b2f032b6a235943da016edd757551a	accession=A0A0C4DFU3	2599	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0A0C4DFU3	downloaded
alphafold	2026-04-11T22:15:23.403789+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0A140G945.json		accession=A0A140G945; api_request_failed=404 Client Error: Not Found for url: https://alphafold.ebi.ac.uk/api/prediction/A0A140G945	0	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0A140G945	blocked
alphafold	2026-04-11T22:15:23.400233+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0A2R8Y4R9.json		accession=A0A2R8Y4R9; api_request_failed=404 Client Error: Not Found for url: https://alphafold.ebi.ac.uk/api/prediction/A0A2R8Y4R9	0	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0A2R8Y4R9	blocked
alphafold	2026-04-11T22:15:23.632475+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0JLT2.json	cf894f1ab4b2e043de1f6b2d29f5a33e	accession=A0JLT2	4665	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0JLT2	downloaded
alphafold	2026-04-11T22:15:23.638506+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0MZ66.json	4501661ca82da81e8c06ffe98725305a	accession=A0MZ66	22317	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0MZ66	downloaded
alphafold	2026-04-11T22:15:23.680010+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A0PK11.json	c5a189b3641675e13de0521c4a607265	accession=A0PK11	2457	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A0PK11	downloaded
alphafold	2026-04-11T22:15:23.698671+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A1A4S6.json	068fa26dcf49e426499d551f86a152f4	accession=A1A4S6	3592	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A1A4S6	downloaded
alphafold	2026-04-11T22:15:23.871958+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A1IGU5.json	bdc9cf0c379da1fcb5d7f70f3173ee2a	accession=A1IGU5	3379	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A1IGU5	downloaded
alphafold	2026-04-11T22:15:23.876000+00:00	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/api/A1L4K1.json	66773a0ac80eade0250bb7d042fb8289	accession=A1L4K1	6715	alphafold_api	https://alphafold.ebi.ac.uk/api/prediction/A1L4K1	downloaded
