accession	local_path	md5	size_bytes	source_url	status
A0A024R0Y4	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A0A024R0Y4.pdb	750710de2cc60135d8c633fcd042dc0a	299294	https://alphafold.ebi.ac.uk/files/AF-A0A024R0Y4-F1-model_v6.pdb	skipped
A0A0C4DFU3	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A0A0C4DFU3.pdb	e6090df02ed1417f104906b0fcc0cf14	284147	https://alphafold.ebi.ac.uk/files/AF-A0A0C4DFU3-F1-model_v6.pdb	skipped
A0JLT2	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A0JLT2.pdb	69bd3fdaeeca1eaece774c056422b637	155114	https://alphafold.ebi.ac.uk/files/AF-A0JLT2-F1-model_v6.pdb	skipped
A0MZ66	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A0MZ66.pdb	af2a4a1fc19da737b1cfdac0a631c84c	413666	https://alphafold.ebi.ac.uk/files/AF-A0MZ66-F1-model_v6.pdb	skipped
A0PK11	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A0PK11.pdb	6ad959e97b073913830376918610fba3	150902	https://alphafold.ebi.ac.uk/files/AF-A0PK11-F1-model_v6.pdb	skipped
A1A4S6	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A1A4S6.pdb	462c11f2f15b1ba460ca5eea7d5364f6	518399	https://alphafold.ebi.ac.uk/files/AF-A1A4S6-F1-model_v6.pdb	skipped
A1IGU5	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A1IGU5.pdb	1959be50e77da7ff9c07b4390d66e03f	443798	https://alphafold.ebi.ac.uk/files/AF-A1IGU5-F1-model_v6.pdb	skipped
A1L4K1	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A1L4K1.pdb	4649890e874f49e79ab543edde27b517	494585	https://alphafold.ebi.ac.uk/files/AF-A1L4K1-F1-model_v6.pdb	skipped
A5D8V6	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A5D8V6.pdb	569af34917a24c19ad31379c158252f4	227204	https://alphafold.ebi.ac.uk/files/AF-A5D8V6-F1-model_v6.pdb	skipped
A2RTX5	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A2RTX5.pdb	928d153f2932f49bd0461c7e2d817676	536948	https://alphafold.ebi.ac.uk/files/AF-A2RTX5-F1-model_v6.pdb	skipped
A5D8V7	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A5D8V7.pdb	034dc0da9c349d80bf472e1cb595303b	401273	https://alphafold.ebi.ac.uk/files/AF-A5D8V7-F1-model_v6.pdb	skipped
A5PLN9	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A5PLN9.pdb	0171d2918ce3ceba9e2067703f6e6d6d	270215	https://alphafold.ebi.ac.uk/files/AF-A5PLN9-F1-model_v6.pdb	skipped
A6NGB9	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NGB9.pdb	ccabb8445d4c1de2b328f4eecd2fcb28	290303	https://alphafold.ebi.ac.uk/files/AF-A6NGB9-F1-model_v6.pdb	skipped
A6NED2	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NED2.pdb	7312d3a61b30585da875c60aff773f07	235385	https://alphafold.ebi.ac.uk/files/AF-A6NED2-F1-model_v6.pdb	skipped
A6NHX0	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NHX0.pdb	b975c2348c9bd4a9d1e6bc25b1bae0be	211814	https://alphafold.ebi.ac.uk/files/AF-A6NHX0-F1-model_v6.pdb	skipped
A6NI15	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NI15.pdb	e84167ab0f289742150268132da29a29	123200	https://alphafold.ebi.ac.uk/files/AF-A6NI15-F1-model_v6.pdb	skipped
A6NK89	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NK89.pdb	54c2efba82678f7cb0a1dbdefbe844df	329831	https://alphafold.ebi.ac.uk/files/AF-A6NK89-F1-model_v6.pdb	skipped
A6NLX3	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NLX3.pdb	54226eae2657055b4507066bb663fa55	164510	https://alphafold.ebi.ac.uk/files/AF-A6NLX3-F1-model_v6.pdb	skipped
A6NMX2	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NMX2.pdb	5851acbec2b2bccbd411d90160ca6c89	163133	https://alphafold.ebi.ac.uk/files/AF-A6NMX2-F1-model_v6.pdb	skipped
A6NNY8	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NNY8.pdb	1a5782ef9d3023b84ee347ac152a0da1	288521	https://alphafold.ebi.ac.uk/files/AF-A6NNY8-F1-model_v6.pdb	skipped
A6ZKI3	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6ZKI3.pdb	01bbaa8a607009591085be0833ff80fa	80189	https://alphafold.ebi.ac.uk/files/AF-A6ZKI3-F1-model_v6.pdb	skipped
A6NNZ2	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A6NNZ2.pdb	13d4e8d251467333aa9280a3efe1c22e	288116	https://alphafold.ebi.ac.uk/files/AF-A6NNZ2-F1-model_v6.pdb	skipped
A8K855	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A8K855.pdb	77d3e9e982b410545e24cd51feefdc10	416744	https://alphafold.ebi.ac.uk/files/AF-A8K855-F1-model_v6.pdb	skipped
A8K0Z3	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A8K0Z3.pdb	5c5f3729b809f3280dc01e7d0dd5ee9c	293948	https://alphafold.ebi.ac.uk/files/AF-A8K0Z3-F1-model_v6.pdb	skipped
A9UHW6	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A9UHW6.pdb	164a113426c358afdba28bae3fdf7674	149849	https://alphafold.ebi.ac.uk/files/AF-A9UHW6-F1-model_v6.pdb	skipped
A8MV65	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/A8MV65.pdb	f2548cde8a936d141b25529ca08e89c8	211814	https://alphafold.ebi.ac.uk/files/AF-A8MV65-F1-model_v6.pdb	skipped
B2RNN3	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/B2RNN3.pdb	c3523f11538aae1b80b0dec3d7ae7ba0	204281	https://alphafold.ebi.ac.uk/files/AF-B2RNN3-F1-model_v6.pdb	skipped
B3KM87	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/B3KM87.pdb	18c7d863dd5bc8dfee1b1f0fb0d83940	329750	https://alphafold.ebi.ac.uk/files/AF-B3KM87-F1-model_v6.pdb	skipped
B2RXF5	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/B2RXF5.pdb	0e001956c565c4e83c69bedd2e2775f2	271025	https://alphafold.ebi.ac.uk/files/AF-B2RXF5-F1-model_v6.pdb	skipped
B5ME19	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/B5ME19.pdb	b78bc3493ba38af79f08a79707c750f0	609038	https://alphafold.ebi.ac.uk/files/AF-B5ME19-F1-model_v6.pdb	skipped
B7U540	/Users/suhaan/Documents/Coding/NovelRP/data/raw/alphafold_monomers/pdb/B7U540.pdb	80c97a74ad9bcf1d9a94e046d53df92d	284876	https://alphafold.ebi.ac.uk/files/AF-B7U540-F1-model_v6.pdb	skipped
